"service_date","day_type","bus","rail_boardings","total_rides"
"07/11/2021","U","189,913","165,360","355,273"
"07/12/2021","W","363,268","237,710","600,978"
"07/13/2021","W","375,230","250,575","625,805"
"07/14/2021","W","396,163","262,113","658,276"
"07/15/2021","W","374,072","261,351","635,423"
"07/16/2021","W","379,552","280,527","660,079"
"07/17/2021","A","296,714","245,066","541,780"
"07/18/2021","U","226,558","191,007","417,565"
"07/19/2021","W","377,772","248,181","625,953"
"07/20/2021","W","390,578","264,471","655,049"
"07/21/2021","W","392,548","274,123","666,671"
"07/22/2021","W","390,531","275,892","666,423"
"07/23/2021","W","386,289","298,869","685,158"
"07/24/2021","A","280,927","250,014","530,941"
"07/25/2021","U","221,645","198,799","420,444"
"07/26/2021","W","373,206","260,296","633,502"
"07/27/2021","W","387,327","279,049","666,376"
"07/28/2021","W","390,425","298,392","688,817"
"07/29/2021","W","394,751","362,106","756,857"
"07/30/2021","W","402,364","362,949","765,313"
"07/31/2021","A","292,772","310,759","603,531"
"08/01/2021","U","223,161","244,404","467,565"
"08/02/2021","W","374,987","259,408","634,395"
"08/03/2021","W","407,869","267,547","675,416"
"08/04/2021","W","401,665","271,469","673,134"
"08/05/2021","W","401,248","283,716","684,964"
"08/06/2021","W","387,894","313,936","701,830"
"08/07/2021","A","301,542","275,050","576,592"
"08/08/2021","U","223,653","187,344","410,997"
"08/09/2021","W","334,547","240,520","575,067"
"08/10/2021","W","372,961","264,354","637,315"
"08/11/2021","W","364,185","258,741","622,926"
"08/12/2021","W","381,061","280,760","661,821"
"08/13/2021","W","396,567","277,082","673,649"
"08/14/2021","A","294,345","252,710","547,055"
"08/15/2021","U","221,156","205,673","426,829"
"08/16/2021","W","371,748","246,824","618,572"
"08/17/2021","W","385,106","259,308","644,414"
"08/18/2021","W","387,316","265,679","652,995"
"08/19/2021","W","390,171","274,749","664,920"
"08/20/2021","W","399,149","298,535","697,684"
"08/21/2021","A","282,205","248,705","530,910"
"08/22/2021","U","231,270","202,393","433,663"
"08/23/2021","W","389,873","263,283","653,156"
"08/24/2021","W","382,748","259,641","642,389"
"08/25/2021","W","398,464","278,830","677,294"
"08/26/2021","W","417,416","287,640","705,056"
"08/27/2021","W","411,406","302,286","713,692"
"08/28/2021","A","290,939","232,278","523,217"
"08/29/2021","U","215,493","180,030","395,523"
"08/30/2021","W","452,128","283,312","735,440"
"08/31/2021","W","457,408","294,988","752,396"
"09/01/2021","W","483,883","302,972","786,855"
"09/02/2021","W","466,988","316,474","783,462"
"09/03/2021","W","460,822","332,962","793,784"
"09/04/2021","A","288,744","249,857","538,601"
"09/05/2021","U","238,982","232,104","471,086"
"09/06/2021","U","231,171","190,360","421,531"
"09/07/2021","W","445,989","291,803","737,792"
"09/08/2021","W","480,111","320,091","800,202"
"09/09/2021","W","471,953","326,271","798,224"
"09/10/2021","W","469,400","355,788","825,188"
"09/11/2021","A","292,316","276,714","569,030"
"09/12/2021","U","216,327","206,582","422,909"
"09/13/2021","W","450,527","296,554","747,081"
"09/14/2021","W","468,812","311,965","780,777"
"09/15/2021","W","472,623","329,295","801,918"
"09/16/2021","W","467,659","365,090","832,749"
"09/17/2021","W","469,512","377,373","846,885"
"09/18/2021","A","297,188","295,961","593,149"
"09/19/2021","U","221,743","220,835","442,578"
"09/20/2021","W","443,252","298,947","742,199"
"09/21/2021","W","452,211","319,330","771,541"
"09/22/2021","W","450,883","322,522","773,405"
"09/23/2021","W","464,140","327,671","791,811"
"09/24/2021","W","463,710","365,392","829,102"
"09/25/2021","A","300,821","296,621","597,442"
"09/26/2021","U","214,958","195,380","410,338"
"09/27/2021","W","458,134","298,532","756,666"
"09/28/2021","W","474,767","315,354","790,121"
"09/29/2021","W","471,319","323,001","794,320"
"09/30/2021","W","469,820","326,450","796,270"
"10/01/2021","W","486,451","343,048","829,499"
"10/02/2021","A","283,289","248,678","531,967"
"10/03/2021","U","209,009","188,875","397,884"
"10/04/2021","W","453,108","297,717","750,825"
"10/05/2021","W","469,691","317,319","787,010"
"10/06/2021","W","474,666","317,494","792,160"
"10/07/2021","W","447,936","323,569","771,505"
"10/08/2021","W","461,163","348,740","809,903"
"10/09/2021","A","301,635","281,790","583,425"
"10/10/2021","U","194,232","312,750","506,982"
"10/11/2021","W","335,704","269,043","604,747"
"10/12/2021","W","469,702","337,547","807,249"
"10/13/2021","W","456,836","323,735","780,571"
"10/14/2021","W","466,987","336,464","803,451"
"10/15/2021","W","456,194","338,278","794,472"
"10/16/2021","A","301,890","266,017","567,907"
"10/17/2021","U","219,929","196,386","416,315"
"10/18/2021","W","447,658","303,246","750,904"
"10/19/2021","W","467,179","323,286","790,465"
"10/20/2021","W","470,815","323,794","794,609"
"10/21/2021","W","449,160","330,258","779,418"
"10/22/2021","W","446,072","328,904","774,976"
"10/23/2021","A","288,871","244,421","533,292"
"10/24/2021","U","171,424","144,992","316,416"
"10/25/2021","W","384,314","270,031","654,345"
"10/26/2021","W","476,997","320,974","797,971"
"10/27/2021","W","475,784","327,121","802,905"
"10/28/2021","W","447,442","328,865","776,307"
"10/29/2021","W","407,815","307,878","715,693"
"10/30/2021","A","280,283","244,786","525,069"
"10/31/2021","U","203,393","183,268","386,661"
"11/01/2021","W","452,937","300,996","753,933"
"11/02/2021","W","463,908","319,122","783,030"
"11/03/2021","W","481,029","327,770","808,799"
"11/04/2021","W","463,508","333,562","797,070"
"11/05/2021","W","403,870","312,819","716,689"
"11/06/2021","A","279,147","235,533","514,680"
"11/07/2021","U","211,114","177,817","388,931"
"11/08/2021","W","458,387","305,403","763,790"
"11/09/2021","W","465,479","324,645","790,124"
"11/10/2021","W","474,682","332,506","807,188"
"11/11/2021","W","349,696","286,823","636,519"
"11/12/2021","W","381,722","302,454","684,176"
"11/13/2021","A","263,401","221,836","485,237"
"11/14/2021","U","191,694","153,282","344,976"
"11/15/2021","W","427,781","292,876","720,657"
"11/16/2021","W","463,846","321,135","784,981"
"11/17/2021","W","436,216","311,717","747,933"
"11/18/2021","W","413,008","315,161","728,169"
"11/19/2021","W","443,247","337,202","780,449"
"11/20/2021","A","271,655","276,136","547,791"
"11/21/2021","U","214,017","179,537","393,554"
"11/22/2021","W","428,156","288,075","716,231"
"11/23/2021","W","437,577","300,261","737,838"
"11/24/2021","W","359,261","257,882","617,143"
"11/25/2021","U","136,680","103,108","239,788"
"11/26/2021","W","257,700","189,694","447,394"
"11/27/2021","A","237,839","187,065","424,904"
"11/28/2021","U","184,817","147,830","332,647"
"11/29/2021","W","421,322","276,090","697,412"
"11/30/2021","W","450,230","302,349","752,579"
"12/01/2021","W","464,613","309,075","773,688"
"12/02/2021","W","466,625","323,958","790,583"
"12/03/2021","W","460,247","320,326","780,573"
"12/04/2021","A","282,720","237,153","519,873"
"12/05/2021","U","175,680","150,682","326,362"
"12/06/2021","W","419,783","278,439","698,222"
"12/07/2021","W","412,108","287,065","699,173"
"12/08/2021","W","440,298","300,242","740,540"
"12/09/2021","W","441,609","310,636","752,245"
"12/10/2021","W","425,279","297,443","722,722"
"12/11/2021","A","253,954","221,509","475,463"
"12/12/2021","U","200,373","165,296","365,669"
"12/13/2021","W","425,654","272,016","697,670"
"12/14/2021","W","443,484","293,750","737,234"
"12/15/2021","W","441,500","299,691","741,191"
"12/16/2021","W","424,823","297,427","722,250"
"12/17/2021","W","405,415","282,060","687,475"
"12/18/2021","A","243,767","196,349","440,116"
"12/19/2021","U","193,554","150,673","344,227"
"12/20/2021","W","346,355","235,596","581,951"
"12/21/2021","W","343,757","224,928","568,685"
"12/22/2021","W","314,359","209,334","523,693"
"12/23/2021","W","311,895","192,858","504,753"
"12/24/2021","U","215,369","118,922","334,291"
"12/25/2021","A","101,622","63,575","165,197"
"12/26/2021","U","160,349","106,278","266,627"
"12/27/2021","W","276,748","170,801","447,549"
"12/28/2021","W","267,102","174,336","441,438"
"12/29/2021","W","294,413","191,745","486,158"
"12/30/2021","W","295,024","194,851","489,875"
"12/31/2021","U","227,449","163,183","390,632"
"01/01/2022","A","115,581","116,473","232,054"
"01/02/2022","U","141,100","114,070","255,170"
"01/03/2022","W","308,893","184,727","493,620"
"01/04/2022","W","343,163","202,963","546,126"
"01/05/2022","W","261,752","177,105","438,857"
"01/06/2022","W","256,983","175,465","432,448"
"01/07/2022","W","246,042","172,216","418,258"
"01/08/2022","A","190,569","133,844","324,413"
"01/09/2022","U","139,413","102,330","241,743"
"01/10/2022","W","273,785","175,964","449,749"
"01/11/2022","W","299,534","190,644","490,178"
"01/12/2022","W","364,308","214,250","578,558"
"01/13/2022","W","364,235","218,508","582,743"
"01/14/2022","W","355,305","224,098","579,403"
"01/15/2022","A","201,975","153,357","355,332"
"01/16/2022","U","157,849","117,493","275,342"
"01/17/2022","W","247,901","160,202","408,103"
"01/18/2022","W","394,532","239,770","634,302"
"01/19/2022","W","373,531","235,997","609,528"
"01/20/2022","W","343,001","227,670","570,671"
"01/21/2022","W","360,918","227,754","588,672"
"01/22/2022","A","213,615","153,452","367,067"
"01/23/2022","U","149,802","112,997","262,799"
"01/24/2022","W","352,311","235,351","587,662"
"01/25/2022","W","352,155","234,112","586,267"
"01/26/2022","W","313,683","215,518","529,201"
"01/27/2022","W","388,880","254,620","643,500"
"01/28/2022","W","310,477","229,809","540,286"
"01/29/2022","A","216,590","160,644","377,234"
"01/30/2022","U","163,483","115,445","278,928"
"01/31/2022","W","405,219","253,283","658,502"
"02/01/2022","W","438,309","273,732","712,041"
"02/02/2022","W","252,363","189,573","441,936"
"02/03/2022","W","342,011","232,018","574,029"
"02/04/2022","W","391,793","263,572","655,365"
"02/05/2022","A","222,874","169,731","392,605"
"02/06/2022","U","179,811","125,211","305,022"
"02/07/2022","W","405,768","257,867","663,635"
"02/08/2022","W","431,086","280,312","711,398"
"02/09/2022","W","433,494","283,336","716,830"
"02/10/2022","W","426,111","284,248","710,359"
"02/11/2022","W","413,489","269,373","682,862"
"02/12/2022","A","236,977","177,109","414,086"
"02/13/2022","U","175,728","133,282","309,010"
"02/14/2022","W","400,492","260,703","661,195"
"02/15/2022","W","434,683","282,736","717,419"
"02/16/2022","W","436,057","286,506","722,563"
"02/17/2022","W","365,062","260,175","625,237"
"02/18/2022","W","383,850","268,927","652,777"
"02/19/2022","A","228,190","179,991","408,181"
"02/20/2022","U","193,971","146,532","340,503"
"02/21/2022","W","330,376","219,366","549,742"
"02/22/2022","W","402,852","275,702","678,554"
"02/23/2022","W","434,639","288,569","723,208"
"02/24/2022","W","417,551","290,246","707,797"
"02/25/2022","W","411,882","278,287","690,169"
"02/26/2022","A","260,161","190,557","450,718"
"02/27/2022","U","197,978","139,377","337,355"
"02/28/2022","W","437,269","272,433","709,702"
"03/01/2022","W","471,547","297,951","769,498"
"03/02/2022","W","461,679","304,639","766,318"
"03/03/2022","W","450,905","301,344","752,249"
"03/04/2022","W","437,164","288,975","726,139"
"03/05/2022","A","291,281","221,714","512,995"
"03/06/2022","U","194,300","141,976","336,276"
"03/07/2022","W","399,383","261,592","660,975"
"03/08/2022","W","464,441","303,631","768,072"
"03/09/2022","W","466,984","310,336","777,320"
"03/10/2022","W","444,721","310,435","755,156"
"03/11/2022","W","422,764","294,476","717,240"
"03/12/2022","A","247,872","287,526","535,398"
"03/13/2022","U","200,879","168,821","369,700"
"03/14/2022","W","448,558","294,168","742,726"
"03/15/2022","W","463,215","322,609","785,824"
"03/16/2022","W","479,823","333,597","813,420"
"03/17/2022","W","463,068","336,933","800,001"
"03/18/2022","W","404,540","292,739","697,279"
"03/19/2022","A","250,839","203,842","454,681"
"03/20/2022","U","220,280","183,597","403,877"
"03/21/2022","W","459,452","286,077","745,529"
"03/22/2022","W","432,916","290,803","723,719"
"03/23/2022","W","411,053","285,528","696,581"
"03/24/2022","W","452,116","279,960","732,076"
"03/25/2022","W","431,829","290,569","722,398"
"03/26/2022","A","242,199","191,025","433,224"
"03/27/2022","U","193,217","147,865","341,082"
"03/28/2022","W","443,113","283,316","726,429"
"03/29/2022","W","459,127","310,432","769,559"
"03/30/2022","W","425,844","299,471","725,315"
"03/31/2022","W","446,918","313,624","760,542"
"04/01/2022","W","484,903","314,610","799,513"
"04/02/2022","A","264,044","194,383","458,427"
"04/03/2022","U","218,901","153,875","372,776"
"04/04/2022","W","457,452","291,019","748,471"
"04/05/2022","W","482,775","326,164","808,939"
"04/06/2022","W","470,573","327,753","798,326"
"04/07/2022","W","468,788","346,853","815,641"
"04/08/2022","W","398,017","301,320","699,337"
"04/09/2022","A","283,129","232,566","515,695"
"04/10/2022","U","221,977","184,272","406,249"
"04/11/2022","W","388,543","276,040","664,583"
"04/12/2022","W","426,444","323,042","749,486"
"04/13/2022","W","375,870","290,641","666,511"
"04/14/2022","W","408,379","316,347","724,726"
"04/15/2022","W","367,610","276,605","644,215"
"04/16/2022","A","274,093","216,395","490,488"
"04/17/2022","U","183,837","139,738","323,575"
"04/18/2022","W","416,359","279,342","695,701"
"04/19/2022","W","461,501","324,667","786,168"
"04/20/2022","W","453,943","322,677","776,620"
"04/21/2022","W","455,139","339,779","794,918"
"04/22/2022","W","414,144","295,319","709,463"
"04/23/2022","A","312,128","278,763","590,891"
"04/24/2022","U","192,744","162,462","355,206"
"04/25/2022","W","454,532","293,934","748,466"
"04/26/2022","W","476,474","323,321","799,795"
"04/27/2022","W","473,316","325,530","798,846"
"04/28/2022","W","461,751","329,024","790,775"
"04/29/2022","W","472,802","324,138","796,940"
"04/30/2022","A","260,440","208,693","469,133"
"05/01/2022","U","209,565","167,306","376,871"
"05/02/2022","W","456,676","288,292","744,968"
"05/03/2022","W","427,088","304,189","731,277"
"05/04/2022","W","500,429","344,233","844,662"
"05/05/2022","W","464,544","329,241","793,785"
"05/06/2022","W","429,700","298,387","728,087"
"05/07/2022","A","308,573","262,869","571,442"
"05/08/2022","U","204,641","167,467","372,108"
"05/09/2022","W","456,324","296,458","752,782"
"05/10/2022","W","487,603","334,899","822,502"
"05/11/2022","W","481,802","332,548","814,350"
"05/12/2022","W","475,308","345,676","820,984"
"05/13/2022","W","470,223","332,657","802,880"
"05/14/2022","A","303,044","249,361","552,405"
"05/15/2022","U","210,931","171,982","382,913"
"05/16/2022","W","460,986","304,494","765,480"
"05/17/2022","W","479,630","337,079","816,709"
"05/18/2022","W","452,731","322,841","775,572"
"05/19/2022","W","486,489","351,429","837,918"
"05/20/2022","W","458,078","321,127","779,205"
"05/21/2022","A","258,763","218,972","477,735"
"05/22/2022","U","221,756","193,002","414,758"
"05/23/2022","W","456,515","297,901","754,416"
"05/24/2022","W","484,351","336,010","820,361"
"05/25/2022","W","461,780","319,883","781,663"
"05/26/2022","W","467,853","332,069","799,922"
"05/27/2022","W","435,553","299,737","735,290"
"05/28/2022","A","299,533","280,228","579,761"
"05/29/2022","U","239,199","246,793","485,992"
"05/30/2022","U","235,865","210,421","446,286"
"05/31/2022","W","468,550","326,376","794,926"
"06/01/2022","W","496,766","346,924","843,690"
"06/02/2022","W","492,400","355,544","847,944"
"06/03/2022","W","494,862","353,934","848,796"
"06/04/2022","A","298,993","261,915","560,908"
"06/05/2022","U","230,730","216,530","447,260"
"06/06/2022","W","437,910","291,922","729,832"
"06/07/2022","W","492,774","348,945","841,719"
"06/08/2022","W","454,093","328,980","783,073"
"06/09/2022","W","488,146","359,630","847,776"
"06/10/2022","W","450,488","327,910","778,398"
"06/11/2022","A","311,911","264,509","576,420"
"06/12/2022","U","224,348","193,587","417,935"
"06/13/2022","W","433,682","306,621","740,303"
"06/14/2022","W","467,146","345,831","812,977"
"06/15/2022","W","435,538","338,852","774,390"
"06/16/2022","W","441,821","351,622","793,443"
"06/17/2022","W","438,575","356,445","795,020"
"06/18/2022","A","316,980","307,051","624,031"
"06/19/2022","U","227,181","226,033","453,214"
"06/20/2022","W","365,955","257,700","623,655"
"06/21/2022","W","427,588","321,100","748,688"
"06/22/2022","W","444,712","335,641","780,353"
"06/23/2022","W","442,860","345,391","788,251"
"06/24/2022","W","429,666","353,308","782,974"
"06/25/2022","A","276,951","259,318","536,269"
"06/26/2022","U","228,786","301,320","530,106"
"06/27/2022","W","416,606","298,347","714,953"
"06/28/2022","W","445,097","348,827","793,924"
"06/29/2022","W","448,310","350,300","798,610"
"06/30/2022","W","434,307","354,302","788,609"
"07/01/2022","W","427,111","319,073","746,184"
"07/02/2022","A","314,971","271,980","586,951"
"07/03/2022","U","234,889","221,003","455,892"
"07/04/2022","U","201,272","158,486","359,758"
"07/05/2022","W","400,714","283,797","684,511"
"07/06/2022","W","438,241","315,347","753,588"
"07/07/2022","W","444,168","331,132","775,300"
"07/08/2022","W","414,527","323,371","737,898"
"07/09/2022","A","314,661","288,100","602,761"
"07/10/2022","U","228,764","208,566","437,330"
"07/11/2022","W","411,177","289,480","700,657"
"07/12/2022","W","460,573","351,612","812,185"
"07/13/2022","W","462,243","357,923","820,166"
"07/14/2022","W","459,272","364,927","824,199"
"07/15/2022","W","385,035","307,877","692,912"
"07/16/2022","A","306,271","295,499","601,770"
"07/17/2022","U","212,995","208,264","421,259"
"07/18/2022","W","432,780","299,248","732,028"
"07/19/2022","W","453,338","335,621","788,959"
"07/20/2022","W","455,439","338,205","793,644"
"07/21/2022","W","445,763","342,598","788,361"
"07/22/2022","W","426,586","323,821","750,407"
"07/23/2022","A","275,396","265,291","540,687"
"07/24/2022","U","209,703","202,481","412,184"
"07/25/2022","W","423,680","314,719","738,399"
"07/26/2022","W","460,649","352,662","813,311"
"07/27/2022","W","446,320","340,006","786,326"
"07/28/2022","W","448,728","380,517","829,245"
"07/29/2022","W","430,804","378,849","809,653"
"07/30/2022","A","304,052","327,388","631,440"
"07/31/2022","U","224,307","252,781","477,088"
"08/01/2022","W","433,904","304,820","738,724"
"08/02/2022","W","451,890","335,737","787,627"
"08/03/2022","W","430,236","321,771","752,007"
"08/04/2022","W","449,161","341,966","791,127"
"08/05/2022","W","445,484","357,462","802,946"
"08/06/2022","A","302,707","280,369","583,076"
"08/07/2022","U","202,042","193,344","395,386"
"08/08/2022","W","381,427","286,194","667,621"
"08/09/2022","W","454,272","352,582","806,854"
"08/10/2022","W","455,381","346,182","801,563"
"08/11/2022","W","444,736","337,937","782,673"
"08/12/2022","W","430,652","320,260","750,912"
"08/13/2022","A","295,364","253,835","549,199"
"08/14/2022","U","214,683","189,154","403,837"
"08/15/2022","W","422,612","312,773","735,385"
"08/16/2022","W","445,900","335,456","781,356"
"08/17/2022","W","451,427","335,610","787,037"
"08/18/2022","W","447,149","343,155","790,304"
"08/19/2022","W","446,821","359,501","806,322"
"08/20/2022","A","276,088","263,681","539,769"
"08/21/2022","U","235,253","221,628","456,881"
"08/22/2022","W","484,550","322,408","806,958"
"08/23/2022","W","510,024","370,191","880,215"
"08/24/2022","W","509,522","369,646","879,168"
"08/25/2022","W","491,181","367,289","858,470"
"08/26/2022","W","495,636","347,989","843,625"
"08/27/2022","A","313,588","249,105","562,693"
"08/28/2022","U","219,848","188,705","408,553"
"08/29/2022","W","453,804","307,410","761,214"
"08/30/2022","W","524,895","366,870","891,765"
"08/31/2022","W","521,586","366,459","888,045"
"09/01/2022","W","526,641","371,181","897,822"
"09/02/2022","W","507,102","361,289","868,391"
"09/03/2022","A","329,125","291,196","620,321"
"09/04/2022","U","229,381","227,410","456,791"
"09/05/2022","U","236,613","180,944","417,557"
"09/06/2022","W","523,472","365,689","889,161"
"09/07/2022","W","534,473","388,259","922,732"
"09/08/2022","W","529,691","391,210","920,901"
"09/09/2022","W","506,174","373,012","879,186"
"09/10/2022","A","328,476","293,144","621,620"
"09/11/2022","U","180,862","175,036","355,898"
"09/12/2022","W","480,954","342,767","823,721"
"09/13/2022","W","527,850","390,462","918,312"
"09/14/2022","W","531,662","395,177","926,839"
"09/15/2022","W","526,216","409,158","935,374"
"09/16/2022","W","508,567","431,965","940,532"
"09/17/2022","A","333,893","324,035","657,928"
"09/18/2022","U","237,991","241,024","479,015"
"09/19/2022","W","495,344","350,160","845,504"
"09/20/2022","W","522,109","387,279","909,388"
"09/21/2022","W","537,697","392,818","930,515"
"09/22/2022","W","530,009","398,846","928,855"
"09/23/2022","W","458,882","354,789","813,671"
"09/24/2022","A","320,145","265,000","585,145"
"09/25/2022","U","229,013","196,621","425,634"
"09/26/2022","W","497,354","338,256","835,610"
"09/27/2022","W","527,776","392,549","920,325"
"09/28/2022","W","530,749","399,004","929,753"
"09/29/2022","W","521,049","399,396","920,445"
"09/30/2022","W","517,079","372,584","889,663"
"10/01/2022","A","331,991","278,557","610,548"
"10/02/2022","U","230,938","198,343","429,281"
"10/03/2022","W","522,157","347,552","869,709"
"10/04/2022","W","539,617","387,120","926,737"
"10/05/2022","W","535,091","386,695","921,786"
"10/06/2022","W","528,937","407,379","936,316"
"10/07/2022","W","497,726","385,824","883,550"
"10/08/2022","A","327,134","300,298","627,432"
"10/09/2022","U","207,502","351,798","559,300"
"10/10/2022","W","413,126","332,397","745,523"
"10/11/2022","W","516,976","397,158","914,134"
"10/12/2022","W","497,854","384,939","882,793"
"10/13/2022","W","533,103","420,167","953,270"
"10/14/2022","W","501,494","372,144","873,638"
"10/15/2022","A","325,294","272,080","597,374"
"10/16/2022","U","227,365","191,906","419,271"
"10/17/2022","W","470,688","332,889","803,577"
"10/18/2022","W","499,407","372,296","871,703"
"10/19/2022","W","525,153","378,834","903,987"
"10/20/2022","W","507,374","383,470","890,844"
"10/21/2022","W","462,718","343,986","806,704"
"10/22/2022","A","328,599","254,638","583,237"
"10/23/2022","U","239,284","189,552","428,836"
"10/24/2022","W","499,098","342,781","841,879"
"10/25/2022","W","478,171","370,030","848,201"
"10/26/2022","W","539,425","393,904","933,329"
"10/27/2022","W","528,826","395,129","923,955"
"10/28/2022","W","501,985","352,842","854,827"
"10/29/2022","A","311,437","254,149","565,586"
"10/30/2022","U","217,204","177,961","395,165"
"10/31/2022","W","454,862","318,942","773,804"
"11/01/2022","W","535,639","378,179","913,818"
"11/02/2022","W","532,834","379,413","912,247"
"11/03/2022","W","540,308","389,939","930,247"
"11/04/2022","W","489,779","345,651","835,430"
"11/05/2022","A","271,210","239,302","510,512"
"11/06/2022","U","237,292","195,418","432,710"
"11/07/2022","W","502,205","345,095","847,300"
"11/08/2022","W","445,547","343,165","788,712"
"11/09/2022","W","524,300","382,075","906,375"
"11/10/2022","W","534,931","396,488","931,419"
"11/11/2022","W","458,476","329,637","788,113"
"11/12/2022","A","283,958","233,513","517,471"
"11/13/2022","U","216,386","184,686","401,072"
"11/14/2022","W","479,311","330,831","810,142"
"11/15/2022","W","482,772","363,154","845,926"
"11/16/2022","W","501,388","367,015","868,403"
"11/17/2022","W","489,196","368,122","857,318"
"11/18/2022","W","437,859","348,326","786,185"
